ลำดับ,คำถาม,คำตอบ,คีเวดหลัก,คำที่มีโอกาสพิมพ์ผิด,หมายเหตุ
373,ขอบเขตของการวิจัย นิยมแบ่งเป็นกี่ประเด็นคะ?,"นิยมกำหนดใน 3 ประเด็น คือ เนื้อหาสาระ (Content), พื้นที่หรืออาณาเขต (Area) และ เวลา (Time) ","ขอบเขตการวิจัย, ประเด็น",ขอบเขด,บทที่ 2 หน้า 11
374,งานวิจัยที่เกี่ยวข้องที่นำมาอ้างอิง ควรมีอายุย้อนหลังไม่เกินกี่ปีครับ?,พิจารณาความใหม่หรือความเป็นปัจจุบัน ถ้ามากกว่า 10 ปี ไม่ควรจะนำมาอ้างอิง (ยกเว้นเอกสารที่แสดงทฤษฎีที่เป็นจริง) ,"งานวิจัยที่เกี่ยวข้อง, อายุงานวิจัย, 10 ปี",งานวิจัยเก่า,บทที่ 2 หน้า 12
375,บทที่ 3 วิธีดำเนินการวิจัย ต้องมีหัวข้ออะไรบ้างคะ?,"ควรประกอบด้วย ประชากรและกลุ่มตัวอย่าง, เครื่องมือที่ใช้ในการวิจัย, วิธีการเก็บรวบรวมข้อมูล และการวิเคราะห์ข้อมูลและสถิติที่ใช้","บทที่ 3, วิธีดำเนินการวิจัย, องค์ประกอบ","วิธีดำเนินงาน, องประกอบ",บทที่ 2 หน้า 12-13
376,การเขียนบทที่ 4 ผลการวิจัย ใส่ความคิดเห็นส่วนตัวลงไปได้ไหมครับ?,ไม่ได้ครับ ต้องแปลผลเฉพาะประเด็นสำคัญตามความเป็นจริง และต้องไม่นำความคิดเห็นของผู้วิจัยเข้าไปอธิบายประกอบ,"บทที่ 4, ผลการวิจัย, ความคิดเห็นส่วนตัว","ผลวิจัย, ความเห็น",บทที่ 2 หน้า 13
377,บทที่ 5 ประกอบด้วยหัวข้ออะไรบ้างคะ?,"ประกอบด้วย สรุป (Conclusions), อภิปรายผล (Discussion) และ ข้อเสนอแนะ (Suggestions) ","บทที่ 5, องค์ประกอบ, สรุป, อภิปรายผล, ข้อเสนอแนะ","บดที่ 5, บทสรุป",บทที่ 2 หน้า 13-14
378,การเขียนอภิปรายผล สามารถใส่ความคิดเห็นส่วนตัวได้ไหมครับ?,ได้ครับ ในการอภิปรายผลส่วนนี้ผู้วิจัยสามารถเสนอความคิดเห็นส่วนตัวประกอบได้,"อภิปรายผล, ความคิดเห็นส่วนตัว","อภิปราย, ความเห็น",บทที่ 2 หน้า 14
379,"คำว่า ""บรรณานุกรม"" ต้องพิมพ์ด้วยฟอนต์ขนาดเท่าไหร่คะ?",ให้จัดพิมพ์ขนาดตัวอักษร 20 พอยต์ ตัวหนา (Bold) ,"บรรณานุกรม, ขนาดฟอนต์, 20 พอยต์, ตัวหนา","บันนานุกรม, ฟ้อน",บทที่ 2 หน้า 15
380,ประวัติผู้วิจัย ต้องพิมพ์ด้วยฟอนต์ขนาดเท่าไหร่ และมีข้อมูลอะไรบ้างครับ?,"พิมพ์หัวข้อ ""ประวัติผู้วิจัย"" ด้วยขนาด 16 พอยต์ ตัวหนา ประกอบด้วย ประวัติการศึกษา, ประวัติการทำงาน และสถานที่ติดต่อปัจจุบัน","ประวัติผู้วิจัย, ขนาดฟอนต์, ข้อมูลประวัติ","ประวัติ, ฟ้อน",บทที่ 2 หน้า 15
381,กระดาษที่ใช้พิมพ์วิทยานิพนธ์ ต้องเป็นกระดาษแบบไหนคะ?,ต้องเป็นกระดาษปอนด์ขาวพิเศษ หรือ กระดาษถนอมสายตา ไม่มีเส้นบรรทัด ขนาดมาตรฐาน A4 น้ำหนัก 80 กรัมต่อตารางเมตร,"กระดาษพิมพ์, A4, 80 กรัม, กระดาษถนอมสายตา","กะดาษ, กะดาด",บทที่ 3 หน้า 16
382,การเว้นขอบกระดาษด้านบนและด้านซ้าย ต้องเว้นเท่าไหร่ครับ?,หัวกระดาษเว้น 1.5 นิ้ว (ถ้าขึ้นบทใหม่เว้น 2 นิ้ว) และขอบซ้ายมือเว้น 1.5 นิ้ว,"ขอบกระดาษ, ขอบบน, ขอบซ้าย, ระยะขอบ","ขอบกะดาษ, เว้นขอบ",บทที่ 3 หน้า 16
383,การเว้นขอบกระดาษด้านล่างและด้านขวา ต้องเว้นเท่าไหร่คะ?,ขอบล่างและขอบขวามือ ให้เว้น 1 นิ้ว (2.54 เซนติเมตร) ,"ขอบกระดาษ, ขอบล่าง, ขอบขวา, ระยะขอบ","ขอบกะดาษ, เว้นขอบ",บทที่ 3 หน้า 16
384,ระยะห่างระหว่างบรรทัดของหัวข้อสำคัญ ต้องเว้นเท่าไหร่ครับ?,บรรทัดระหว่างหัวข้อสำคัญให้เว้น 1 บรรทัด (Single Line Spacing) ,"ระยะห่างบรรทัด, หัวข้อสำคัญ, เว้นบรรทัด","เว้นบรรทัด, บรรทัด",บทที่ 3 หน้า 16
385,การย่อหน้า ต้องเว้นระยะจากขอบซ้ายเท่าไหร่คะ?,ให้เว้นระยะจากกรอบพิมพ์ด้านซ้ายมือ 1 เซนติเมตร (0.39 นิ้ว) ,"การย่อหน้า, ระยะย่อหน้า, 1 เซนติเมตร","ย่อหน้า, เว้นย่อหน้า",บทที่ 3 หน้า 16
386,การเว้นวรรคเล็ก คือการเว้นกี่เคาะครับ?,การเว้นวรรคเล็ก มีระยะห่างระหว่างวรรคเท่ากับความกว้างของพยัญชนะ หรือ 1 เคาะ,"เว้นวรรคเล็ก, 1 เคาะ, ระยะห่าง","เว้นวรรค, เคาะ",บทที่ 3 หน้า 16
387,การเว้นวรรคใหญ่ คือเว้นกี่เคาะ และใช้ตอนไหนคะ?,การเว้นวรรคใหญ่ มีระยะห่าง 2 เคาะ ใช้ในกรณีเมื่อจบข้อความแต่ละประโยค,"เว้นวรรคใหญ่, 2 เคาะ, จบประโยค","เว้นวรรค, เคาะ",บทที่ 3 หน้า 17
388,การตัดคำเมื่อหมดบรรทัด ต้องทำยังไงครับ?,ในการตัดคำต้องใส่ยัติภังค์ (-) เสมอ แต่ต้องพิจารณาตัดอย่างรอบคอบ คำที่ออกเสียงเชื่อมกันหรือหน่วยคำเดียวกันไม่ควรตัด,"การตัดคำ, สิ้นสุดบรรทัด, ยัติภังค์","ตัดคำ, ยัติภัง",บทที่ 3 หน้า 18
389,ถ้าพิมพ์มาถึงบรรทัดสุดท้ายของหน้า ต้องเว้นขอบล่างเท่าไหร่คะ?,ให้เว้นขอบล่าง 1 นิ้ว (2.54 เซนติเมตร) ,"บรรทัดสุดท้าย, ขอบล่าง, ขึ้นหน้าใหม่","ขอบล่าง, เว้นขอบ",บทที่ 3 หน้า 18
390,การใส่เลขหน้าในส่วนนำเรื่อง ต้องใช้รูปแบบไหนครับ?,"ใช้ตัวอักษร ก, ข, ค... สำหรับภาษาไทย และ i, ii, iii... สำหรับภาษาอังกฤษ พิมพ์ไว้กลางหน้ากระดาษด้านล่าง ห่างขอบล่าง 0.5 นิ้ว","เลขหน้าส่วนนำ, ก ข ค, เลขโรมัน, ตำแหน่งเลขหน้า","เลกหน้า, ส่วนนำ",บทที่ 3 หน้า 19
391,การใส่เลขหน้าในส่วนเนื้อหา ต้องวางไว้ตรงไหนคะ?,"ใช้ตัวเลขอารบิค 1, 2, 3... พิมพ์ไว้ริมขอบขวาของกรอบกระดาษ ห่างจากขอบบนและขวาด้านละ 1 นิ้ว","เลขหน้าส่วนเนื้อหา, ตำแหน่งเลขหน้า, ริมขอบขวา","เลกหน้า, เลขน่า",บทที่ 3 หน้า 19
392,หน้าแรกของแต่ละบท ต้องใส่เลขหน้าไหมครับ?,ยกเว้นหน้าแรกของบทที่ขึ้นบทใหม่ หน้าแรกของบรรณานุกรม และหน้าแรกของภาคผนวก ไม่ต้องใส่เลขหน้ากำกับแต่ให้นับจำนวนหน้ารวมไปด้วย,"หน้าแรกของบท, เลขหน้า, ไม่ต้องใส่เลขหน้า","เลกหน้า, หน้าแรก",บทที่ 3 หน้า 19
393,"คำว่า ""บทที่"" และชื่อบท ภาษาไทยใช้ฟอนต์ขนาดเท่าไหร่คะ?",ให้ใช้ขนาดตัวอักษร 20 พอยต์ ตัวหนา (Bold) พิมพ์ไว้ตรงกลางหน้ากระดาษ,"บทที่, ชื่อบท, ภาษาไทย, 20 พอยต์, ตัวหนา","บดที่, ฟ้อน",บทที่ 3 หน้า 19
394,"คำว่า ""CHAPTER"" และชื่อบท ภาษาอังกฤษใช้ฟอนต์ขนาดเท่าไหร่ครับ?",วิทยานิพนธ์ภาษาอังกฤษให้ใช้ขนาดตัวอักษร 14 พอยต์ ตัวหนา (Bold) ,"CHAPTER, ชื่อบทภาษาอังกฤษ, 14 พอยต์, ตัวหนา","แชปเตอร์, ฟ้อน",บทที่ 3 หน้า 19
395,หัวข้อสำคัญในแต่ละบท ภาษาไทยใช้ฟอนต์ขนาดเท่าไหร่คะ?,ให้พิมพ์ชิดกรอบกระดาษด้านซ้ายมือ ใช้ขนาดตัวอักษร 16 พอยต์ ตัวหนา (Bold) และไม่ต้องขีดเส้นใต้,"หัวข้อสำคัญ, ภาษาไทย, 16 พอยต์, ตัวหนา, ชิดซ้าย","หัวข้อ, ฟ้อน",บทที่ 3 หน้า 19
396,หัวข้อย่อยที่มีการแบ่งมากกว่า 5 ระดับ ต้องใช้สัญลักษณ์อะไรครับ?,"ให้ใส่ตัวอักษรภาษาไทย ก, ข, ค... สำหรับภาษาไทย และใช้อักษรภาษาอังกฤษตัวพิมพ์เล็ก a, b, c... สำหรับภาษาต่างประเทศ","หัวข้อย่อย, มากกว่า 5 ระดับ, สัญลักษณ์","หัวข้อย่อย, ระดับ",บทที่ 3 หน้า 19
397,"คำว่า ""ตารางที่"" ต้องพิมพ์ยังไงคะ?",ให้พิมพ์ชิดริมกรอบกระดาษซ้ายมือ เป็นตัวอักษรตัวหนา (Bold) ตามด้วยเลขที่ตารางตามบท เช่น ตารางที่ 1-1 ,"ตารางที่, พิมพ์ตัวหนา, ชิดซ้าย, เลขตาราง","ตาราง, พิม",บทที่ 3 หน้า 20
398,ชื่อตาราง ต้องพิมพ์ห่างจากเลขที่ตารางกี่เคาะครับ?,ให้พิมพ์ชื่อตารางต่อจากเลขที่ของตารางโดยเว้นระยะห่าง 2 เคาะ,"ชื่อตาราง, เว้นวรรค, 2 เคาะ","ชือตาราง, เคาะ",บทที่ 3 หน้า 20
399,ถ้าตารางยาวจนต้องขึ้นหน้าใหม่ ต้องพิมพ์หัวตารางยังไงคะ?,ให้พิมพ์เลขที่ตารางตามด้วยคำว่า (ต่อ) เช่น ตารางที่ 1-1 (ต่อ) โดยไม่ต้องใส่ชื่อตาราง และคัดลอกหัวตารางมาจัดพิมพ์ด้วย,"ตารางยาว, ขึ้นหน้าใหม่, ตารางที่ (ต่อ), หัวตาราง","ตารางต่อ, หัวตาราง",บทที่ 3 หน้า 21
400,"คำว่า ""ภาพที่"" และชื่อภาพ ต้องวางไว้ตรงไหนของภาพครับ?",ต้องมีเลขที่ของภาพ และชื่อหรือคำอธิบายภาพกำกับไว้ใต้ภาพประกอบ ตรงกลางหน้ากระดาษ,"ภาพที่, ชื่อภาพ, ใต้ภาพ, กลางหน้ากระดาษ","รูปภาพ, คำอธิบายภาพ",บทที่ 3 หน้า 21
401,ชื่อภาพ ต้องพิมพ์ห่างจากเลขที่ภาพกี่เคาะคะ?,ให้พิมพ์ชื่อภาพต่อจากเลขที่ของภาพโดยเว้นระยะห่าง 2 เคาะ,"ชื่อภาพ, เว้นวรรค, 2 เคาะ","ชือภาพ, เคาะ",บทที่ 3 หน้า 21
402,การพิมพ์เลขสมการ ต้องใช้รูปแบบไหนครับ?,ให้พิมพ์เลขสมการตามบทไว้ในวงเล็บ ด้วยตัวอักษรธรรมดา ชิดขอบด้านขวา เช่น (1-1) หรือ (A-1) ,"เลขสมการ, วงเล็บ, ชิดขวา","สมการ, เลขสมการ",บทที่ 3 หน้า 21
403,การอ้างอิงแบบนาม-ปี ในภาษาไทย ต้องขึ้นต้นด้วยอะไรคะ?,เอกสารอ้างอิงภาษาไทย ให้ขึ้นต้นชื่อผู้แต่งด้วยชื่อต้นเท่านั้น โดยไม่ต้องใส่ชื่อสกุล,"อ้างอิงนาม-ปี, ภาษาไทย, ชื่อต้น","อ้างอิง, นามปี",บทที่ 3 หน้า 22
404,การอ้างอิงแบบนาม-ปี ในภาษาอังกฤษ ต้องขึ้นต้นด้วยอะไรครับ?,เอกสารอ้างอิงภาษาต่างประเทศ ให้ขึ้นต้นชื่อผู้แต่งด้วยชื่อสกุลเท่านั้นเป็นภาษาอังกฤษ โดยไม่ต้องกำกับชื่อภาษาไทยในวงเล็บ,"อ้างอิงนาม-ปี, ภาษาอังกฤษ, ชื่อสกุล","อ้างอิง, นามปีอังกฤษ",บทที่ 3 หน้า 22
405,การคัดลอกข้อความมาอ้างอิง ที่ยาวไม่เกิน 3 บรรทัด ต้องพิมพ์ยังไงคะ?,"ให้พิมพ์ต่อไปในเนื้อหาโดยไม่ต้องขึ้นบรรทัดใหม่ และให้เขียนไว้ในเครื่องหมายอัญประกาศ ("" "") ","คัดลอกข้อความ, ไม่เกิน 3 บรรทัด, อัญประกาศ","คัดลอก, เครื่องหมายคำพูด",บทที่ 3 หน้า 22
406,การคัดลอกข้อความมาอ้างอิง ที่ยาวเกิน 3 บรรทัด ต้องพิมพ์ยังไงครับ?,ให้พิมพ์แยกจากเนื้อหาโดยขึ้นบรรทัดใหม่ ไม่ต้องใส่เครื่องหมายอัญประกาศ และให้พิมพ์ติดต่อกันไปโดยด้านซ้ายของข้อความอยู่ในระดับเสมอย่อหน้า,"คัดลอกข้อความ, เกิน 3 บรรทัด, แยกจากเนื้อหา, ไม่ใส่อัญประกาศ","คัดลอก, เครื่องหมายคำพูด",บทที่ 3 หน้า 22
407,"คำว่า ""บรรณานุกรม"" ต้องพิมพ์ไว้ตรงไหน และขนาดเท่าไหร่คะ?","ให้อยู่ต่อจากส่วนเนื้อหา พิมพ์คำว่า ""บรรณานุกรม"" กลางหน้ากระดาษ ขนาดตัวอักษร 20 พอยต์ ตัวหนา ","บรรณานุกรม, ตำแหน่ง, ขนาดฟอนต์, 20 พอยต์, ตัวหนา","บันนานุกรม, ฟ้อน",บทที่ 3 หน้า 24
408,วิทยานิพนธ์ภาษาไทย ต้องเรียงบรรณานุกรมภาษาอะไรขึ้นก่อนครับ?,ให้เรียงลำดับรายการบรรณานุกรมภาษาไทยไว้ก่อน แล้วจึงตามด้วยรายการบรรณานุกรมภาษาอังกฤษ,"บรรณานุกรม, การเรียงลำดับ, ภาษาไทยขึ้นก่อน","เรียงบรรณานุกรม, บันนานุกรม",บทที่ 3 หน้า 24
409,การเรียงลำดับบรรณานุกรม ใช้หลักเกณฑ์อะไรคะ?,ยึดวิธีการเรียงลำดับตามแบบพจนานุกรมฉบับราชบัณฑิตยสถาน โดยเรียงตามลำดับตัวอักษรตัวแรกของรายการที่อ้างอิง ,"บรรณานุกรม, การเรียงลำดับ, พจนานุกรมราชบัณฑิตยสถาน","เรียงบรรณานุกรม, บันนานุกรม",บทที่ 3 หน้า 24
410,การพิมพ์บรรณานุกรมบรรทัดที่สอง ต้องย่อหน้าเท่าไหร่ครับ?,หากมีข้อความที่จะต้องพิมพ์ต่อจากบรรทัดแรก ให้พิมพ์บรรทัดต่อไปโดยย่อหน้าเว้นระยะ 1.5 เซนติเมตร (0.59 นิ้ว)  ,"บรรณานุกรม, การย่อหน้า, บรรทัดที่สอง, 1.5 เซนติเมตร","ย่อหน้าบรรณานุกรม, บันนานุกรม",บทที่ 3 หน้า 24
411,คำย่อ comp. ในบรรณานุกรม หมายถึงอะไรครับ?,คำย่อ comp. ย่อมาจาก compiler หมายถึง ผู้รวบรวม,"คำย่อ, comp., compiler, ผู้รวบรวม","คำย่อ comp, คอมไพเลอร์",บทที่ 3 หน้า 25
412,คำย่อ ed. ย่อมาจากอะไร ใช้ตอนไหนคะ?,คำย่อ ed. ย่อมาจาก editor หมายถึง บรรณาธิการ หรือผู้จัดพิมพ์,"คำย่อ, ed., editor, บรรณาธิการ","คำย่อ ed, เอดิเตอร์",บทที่ 3 หน้า 25
413,ถ้าจะเขียนว่า พิมพ์ครั้งที่ 2 ในบรรณานุกรมภาษาอังกฤษ ต้องใช้คำย่ออะไรครับ?,ใช้คำย่อ 2nd ed. ซึ่งย่อมาจาก second edition,"พิมพ์ครั้งที่ 2, คำย่อ, 2nd ed., second edition","พิมครั้งที่ 2, 2nd ed",บทที่ 3 หน้า 25
414,คำว่า et al. มีความหมายว่ายังไงคะ?,et al. ย่อมาจาก et alii หมายถึง และคณะ หรือ คนอื่น ๆ (and others),"คำย่อ, et al., et alii, และคณะ, คนอื่น ๆ","et al, เอท อัล",บทที่ 3 หน้า 25
415,ibid ย่อมาจากอะไร และแปลว่าอะไรครับ?,ibid ย่อมาจาก ibidem หมายถึง เรื่องเดียวกัน (in the same place),"คำย่อ, ibid, ibidem, เรื่องเดียวกัน","ไอวิด, อิบิด",บทที่ 3 หน้า 25
416,ถ้าหนังสือไม่มีปีที่พิมพ์ ภาษาอังกฤษต้องใช้คำย่ออะไรคะ?,ใช้คำย่อ n.d. ซึ่งย่อมาจาก no date (ภาษาไทยใช้ ม.ป.ป.),"ไม่มีปีที่พิมพ์, ไม่ปรากฏปีที่พิมพ์, n.d., no date","เอ็นดี, n.d",บทที่ 3 หน้า 25
417,n.p. ในบรรณานุกรม ย่อมาจากอะไรครับ?,n.p. ย่อมาจาก no place หมายถึง ไม่ปรากฏสถานที่พิมพ์ (ภาษาไทยใช้ ม.ป.ท.),"ไม่มีสถานที่พิมพ์, ไม่ปรากฏสถานที่พิมพ์, n.p., no place","เอ็นพี, n.p",บทที่ 3 หน้า 25
418,ถ้าจะย่อคำว่า หน้า ที่มีหลายหน้า ในภาษาอังกฤษต้องใช้คำย่ออะไรคะ?,ใช้คำย่อ pp. ซึ่งเป็นพหูพจน์ของ p. (page),"หน้า, คำย่อหน้า, หลายหน้า, pp., page","พีพี, หน้าหนังสือ",บทที่ 3 หน้า 25
419,คำย่อ tr. ย่อมาจากอะไรครับ?,tr. ย่อมาจาก translator หมายถึง ผู้แปล หรือ translated by หมายถึง แปลโดย,"คำย่อ, tr., translator, ผู้แปล, แปลโดย","ทีอาร์, คนแปล",บทที่ 3 หน้า 26
420,คำย่อ vol. และ vols. ใช้งานต่างกันยังไงคะ?,vol. ย่อมาจาก volume หมายถึง เล่มที่ (เช่น vol. 4) ส่วน vols. หมายถึง จำนวนเล่ม (เช่น 4 vols.),"คำย่อ, vol., vols., volume, เล่มที่, จำนวนเล่ม","วอลุ่ม, เล่ม",บทที่ 3 หน้า 26
421,การอ้างอิงแบบตัวเลข ต้องใส่ตัวเลขไว้ตรงไหนของข้อความครับ?,ให้ใส่ตัวเลขกำกับไว้ท้ายข้อความ หรือชื่อบุคคลที่อ้างอิงด้วยตัวเลขอารบิคในเครื่องหมายวงเล็บสี่เหลี่ยม [ ],"อ้างอิงแบบตัวเลข, วงเล็บสี่เหลี่ยม, ตำแหน่งตัวเลข","อ้างอิงตัวเลข, วงเล็บเหลี่ยม",บทที่ 3 หน้า 26
422,ตัวเลขในการอ้างอิงแบบตัวเลข ต้องเรียงลำดับยังไงคะ?,ตัวเลขจะต้องเรียงลำดับตั้งแต่เลข 1 เป็นต้นไปจนจบเล่ม,"อ้างอิงแบบตัวเลข, การเรียงลำดับ, ลำดับตัวเลข","เรียงเลข, อ้างอิงตัวเลข",บทที่ 3 หน้า 26
423,ถ้ามีการอ้างอิงแหล่งเดิมซ้ำในระบบตัวเลข ต้องทำยังไงครับ?,ในกรณีที่มีการอ้างอิงซ้ำ ให้ใช้ตัวเลขเดิมที่เคยใช้อ้างอิงมาก่อนแล้ว,"อ้างอิงซ้ำ, อ้างอิงแบบตัวเลข, ตัวเลขเดิม","อ้างอิงซ้ำ, เลขเดิม",บทที่ 3 หน้า 26
424,การพิมพ์เอกสารอ้างอิงท้ายเล่มในระบบตัวเลข ต้องเรียงตามตัวอักษรไหมคะ?,ให้เรียงลำดับเอกสารอ้างอิงตามลำดับหมายเลขที่ได้กำกับไว้ภายในเครื่องหมายวงเล็บสี่เหลี่ยม [ ] โดยไม่ต้องเรียงตัวอักษร,"เอกสารอ้างอิงท้ายเล่ม, ระบบตัวเลข, การเรียงลำดับ, ไม่ต้องเรียงตัวอักษร","เรียงเอกสารอ้างอิง, เรียงบรรณานุกรม",บทที่ 3 หน้า 27
425,การอ้างอิงท้ายเล่มในระบบตัวเลข ต้องแยกภาษาและประเภทของเอกสารไหมครับ?,การอ้างอิงไม่ต้องแยกภาษาและประเภทของเอกสาร,"เอกสารอ้างอิงท้ายเล่ม, ระบบตัวเลข, การแยกภาษา, การแยกประเภท","แยกภาษา, แยกประเภทเอกสาร",บทที่ 3 หน้า 27
426,การเขียนบรรณานุกรมแบบ APA นิยมใช้ในสาขาอะไรคะ?,แบบ APA (American Psychological Association) นิยมใช้เขียนกันในงานด้านสังคมศาสตร์และวิทยาศาสตร์,"บรรณานุกรม, APA, สังคมศาสตร์, วิทยาศาสตร์","เอพีเอ, รูปแบบ apa",บทที่ 3 หน้า 28
427,การเขียนบรรณานุกรมแบบ MLA นิยมใช้ในสาขาอะไรครับ?,แบบ MLA (Modern Language Association) นิยมใช้เขียนกันในงานด้านมนุษยศาสตร์ โดยเฉพาะด้านภาษาและวรรณคดี,"บรรณานุกรม, MLA, มนุษยศาสตร์, ภาษา, วรรณคดี","เอ็มแอลเอ, รูปแบบ mla",บทที่ 3 หน้า 28
428,การพิมพ์บรรณานุกรม หลังเครื่องหมายมหัพภาค (.) ต้องเว้นกี่เคาะคะ?,เว้น 2 เคาะ (ยกเว้นชื่อย่อผู้แต่งภาษาอังกฤษให้เว้น 1 เคาะ),"บรรณานุกรม, มหัพภาค, จุด, การเว้นเคาะ","เว้นวรรคจุด, เคาะหลังจุด",บทที่ 3 หน้า 28
429,"หลังเครื่องหมายจุลภาค (,) ในบรรณานุกรม ต้องเว้นกี่เคาะครับ?","หลังเครื่องหมายจุลภาค (,) ให้เว้น 1 เคาะ","บรรณานุกรม, จุลภาค, ลูกน้ำ, การเว้นเคาะ","เว้นวรรคลูกน้ำ, เคาะหลังลูกน้ำ",บทที่ 3 หน้า 28
430,การเขียนบรรณานุกรมหนังสือภาษาไทย ผู้แต่ง 1 คน ต้องลงชื่อยังไงคะ?,ให้ลงชื่อต้นก่อน แล้วตามด้วยนามสกุล,"บรรณานุกรม, หนังสือภาษาไทย, ผู้แต่ง 1 คน, ชื่อต้น, นามสกุล","ชื่อผู้แต่ง, เขียนชื่อบรรณานุกรม",บทที่ 3 หน้า 28
431,ถ้าหนังสือมีผู้แต่ง 2 คน ต้องใช้คำเชื่อมว่าอะไรครับ?,"ให้ลงชื่อผู้แต่งทุกคนโดยใช้คำว่า ""และ"" (หรือ and) ก่อนชื่อผู้แต่งคนสุดท้าย","บรรณานุกรม, ผู้แต่ง 2 คน, คำเชื่อม, และ, and","ผู้แต่งสองคน, คำเชื่อมและ",บทที่ 3 หน้า 29
432,ถ้าหนังสือมีผู้แต่งมากกว่า 4 คน ต้องเขียนยังไงคะ?,"ให้ลงชื่อผู้แต่งคนแรก ตามด้วยคำว่า ""และคนอื่น ๆ"" (หรือและคณะ หรือ et al. หรือ and others)","บรรณานุกรม, ผู้แต่ง 4 คนขึ้นไป, และคนอื่น ๆ, และคณะ","ผู้แต่งหลายคน, ผู้แต่งมากกว่า 4",บทที่ 3 หน้า 29
433,การเขียนบรรณานุกรมหน่วยงานราชการ ต้องเขียนยังไงครับ?,"ให้ลงชื่อหน่วยงาน คั่นด้วยเครื่องหมายจุลภาค (,) และตามด้วยฐานะของหน่วยงาน เช่น การศึกษานอกโรงเรียน, กรม","บรรณานุกรม, นิติบุคคล, หน่วยงานราชการ, ฐานะของหน่วยงาน","อ้างอิงหน่วยงาน, อ้างอิงกรม",บทที่ 3 หน้า 30
434,ถ้าอ้างอิงหนังสือที่ผู้แต่งมีฐานันดรศักดิ์ ต้องใส่ไว้ตรงไหนคะ?,"ให้ใส่ราชทินนาม ฐานันดรศักดิ์ สมณศักดิ์ นั้น ไว้ข้างหลังชื่อ โดยหลังชื่อผู้แต่งให้ใส่เครื่องหมายจุลภาค (,) เช่น ดำรงราชานุภาพ, สมเด็จกรมพระยา","บรรณานุกรม, ฐานันดรศักดิ์, ราชทินนาม, สมณศักดิ์","อ้างอิงเจ้านาย, อ้างอิงพระ",บทที่ 3 หน้า 30
435,คำนำหน้าชื่อ เช่น นาย นาง ยศ หรือตำแหน่งทางวิชาการ ต้องใส่ในบรรณานุกรมไหมครับ?,ไม่ต้องระบุคำนำหน้านาม เช่น นาย นาง ยศ หรือตำแหน่งทางวิชาการ ยกเว้น นามแฝง,"บรรณานุกรม, คำนำหน้านาม, ยศ, ตำแหน่งทางวิชาการ, นามแฝง","คำนำหน้าชื่อ, ใส่ยศไหม",บทที่ 3 หน้า 31
436,ถ้าหนังสือไม่ปรากฏชื่อผู้แต่ง มีแต่บรรณาธิการ ต้องทำยังไงคะ?,ให้ลงชื่อบรรณาธิการ และตามด้วยคำว่า (บรรณาธิการ) หรือ (editor) หรือ (ed.),"บรรณานุกรม, ไม่มีชื่อผู้แต่ง, บรรณาธิการ, editor","ไม่มีผู้แต่ง, มีแต่บรรณาธิการ",บทที่ 3 หน้า 31
437,หนังสือที่ไม่ปรากฏสถานที่พิมพ์ ภาษาไทยต้องใช้คำย่ออะไรครับ?,ให้ระบุ (ม.ป.ท.),"บรรณานุกรม, ไม่ปรากฏสถานที่พิมพ์, ม.ป.ท.","ไม่มีที่พิมพ์, มปท",บทที่ 3 หน้า 32
438,หนังสือที่ไม่ปรากฏปีที่พิมพ์ ภาษาไทยต้องใช้คำย่ออะไรคะ?,ให้ระบุ (ม.ป.ป.),"บรรณานุกรม, ไม่ปรากฏปีที่พิมพ์, ม.ป.ป.","ไม่มีปีพิมพ์, มปป",บทที่ 3 หน้า 32
439,การอ้างอิงหนังสือแปล ต้องเขียนยังไงครับ?,ให้ลงชื่อผู้แต่งดั้งเดิม ตามด้วยปีที่พิมพ์ฉบับแปล ชื่อหนังสือฉบับแปล และระบุชื่อผู้แปล เช่น แปลโดย... หรือ Translated by...,"บรรณานุกรม, หนังสือแปล, ชื่อผู้แปล","อ้างอิงหนังสือแปล, คนแปล",บทที่ 3 หน้า 33
440,การเขียนบรรณานุกรมราชกิจจานุเบกษา ต้องขึ้นต้นด้วยอะไรคะ?,"ให้ขึ้นต้นด้วยคำว่า ""ราชกิจจานุเบกษา.""","บรรณานุกรม, ราชกิจจานุเบกษา","อ้างอิงราชกิจจา, ราชกิจจา",บทที่ 3 หน้า 34
441,การอ้างอิงวิทยานิพนธ์ ต้องระบุอะไรบ้างครับ?,"ระบุชื่อผู้แต่ง, ปีที่พิมพ์, ชื่อเรื่องวิทยานิพนธ์, ระดับวิทยานิพนธ์, สาขาวิชา, ภาควิชา, คณะ และมหาวิทยาลัย/สถาบัน","บรรณานุกรม, วิทยานิพนธ์, องค์ประกอบ","อ้างอิงวิทยานิพนธ์, อ้างอิงธีสิส",บทที่ 3 หน้า 34
442,การอ้างอิงการสัมภาษณ์ ต้องระบุข้อมูลอะไรบ้างคะ?,"ระบุชื่อผู้ให้สัมภาษณ์, วัน เดือน ปีที่สัมภาษณ์, ตำแหน่งผู้ให้สัมภาษณ์ (ถ้ามี) และคำว่า ""สัมภาษณ์"" หรือ ""Interview""","บรรณานุกรม, การสัมภาษณ์, ผู้ให้สัมภาษณ์","อ้างอิงสัมภาษณ์, สัมภาษณ์ใคร",บทที่ 3 หน้า 36
